feature,shap_value,abs
worst area,0.05801032819272127,0.05801032819272127
worst concave points,0.054328948460515954,0.054328948460515954
worst perimeter,0.05288431391078856,0.05288431391078856
mean concave points,0.05055631353364893,0.05055631353364893
worst radius,0.03224523180343294,0.03224523180343294
mean radius,0.018073642103616012,0.018073642103616012
mean area,0.017970003711139156,0.017970003711139156
mean concavity,0.014269110601535599,0.014269110601535599
mean perimeter,0.009381137203112382,0.009381137203112382
concavity error,-0.008578530306670962,0.008578530306670962
worst concavity,-0.008418389016493869,0.008418389016493869
worst texture,0.007762487767184184,0.007762487767184184
area error,0.007724765676952412,0.007724765676952412
worst compactness,0.0068686314340614205,0.0068686314340614205
mean texture,0.006111386478992459,0.006111386478992459
compactness error,0.003982898862346854,0.003982898862346854
worst smoothness,-0.0035830374419040458,0.0035830374419040458
texture error,0.0018046859144020962,0.0018046859144020962
mean fractal dimension,0.0015049187511143511,0.0015049187511143511
worst fractal dimension,0.001390511529475228,0.001390511529475228
symmetry error,0.0011514503858094664,0.0011514503858094664
mean smoothness,0.0011100279853983855,0.0011100279853983855
concave points error,-0.00086886878311524,0.00086886878311524
mean symmetry,0.0007227858463257919,0.0007227858463257919
smoothness error,-0.000706532688906106,0.000706532688906106
fractal dimension error,-0.0006306415077533723,0.0006306415077533723
perimeter error,0.00040575146478087046,0.00040575146478087046
worst symmetry,0.000333831671044465,0.000333831671044465
radius error,0.00031905380463912066,0.00031905380463912066
mean compactness,-0.00029105251302961085,0.00029105251302961085
